BraTS21ID,Model,Channels,Tumor regions,Dice score
BraTS2021_01661,DynUnet,4 channels,WT,0.9749427437782288
BraTS2021_01023,DynUnet,4 channels,WT,0.9922516345977783
BraTS2021_01028,DynUnet,4 channels,WT,0.9333451986312866
BraTS2021_01634,DynUnet,4 channels,WT,0.9858750104904175
BraTS2021_00830,DynUnet,4 channels,WT,0.9800459146499634
BraTS2021_00157,DynUnet,4 channels,WT,0.9381402134895325
BraTS2021_00090,DynUnet,4 channels,WT,0.9640253782272339
BraTS2021_00085,DynUnet,4 channels,WT,0.9113660454750061
BraTS2021_01458,DynUnet,4 channels,WT,0.9429018497467041
BraTS2021_01057,DynUnet,4 channels,WT,0.9286768436431885
BraTS2021_00282,DynUnet,4 channels,WT,0.9591178297996521
BraTS2021_01158,DynUnet,4 channels,WT,0.9437223076820374
BraTS2021_00718,DynUnet,4 channels,WT,0.9637355804443359
BraTS2021_01348,DynUnet,4 channels,WT,0.9572362899780273
BraTS2021_00510,DynUnet,4 channels,WT,0.9286036491394043
BraTS2021_00618,DynUnet,4 channels,WT,0.9712674617767334
BraTS2021_01579,DynUnet,4 channels,WT,0.9778980016708374
BraTS2021_01169,DynUnet,4 channels,WT,0.9430425763130188
BraTS2021_00605,DynUnet,4 channels,WT,0.9865727424621582
BraTS2021_00332,DynUnet,4 channels,WT,0.9039636850357056
BraTS2021_01251,DynUnet,4 channels,WT,0.9416314363479614
BraTS2021_01069,DynUnet,4 channels,WT,0.9863024950027466
BraTS2021_01628,DynUnet,4 channels,WT,0.025183631107211113
BraTS2021_01316,DynUnet,4 channels,WT,0.9703624844551086
BraTS2021_01660,DynUnet,4 channels,WT,0.927036464214325
BraTS2021_01212,DynUnet,4 channels,WT,0.8658965826034546
BraTS2021_00322,DynUnet,4 channels,WT,0.9825541973114014
BraTS2021_00400,DynUnet,4 channels,WT,0.9758920073509216
BraTS2021_00747,DynUnet,4 channels,ET,0.931196391582489
BraTS2021_01362,DynUnet,4 channels,ET,0.9483704566955566
BraTS2021_00525,DynUnet,4 channels,ET,0.7300525307655334
BraTS2021_00556,DynUnet,4 channels,ET,0.7900156378746033
BraTS2021_00136,DynUnet,4 channels,ET,0.8092606663703918
BraTS2021_00360,DynUnet,4 channels,ET,0.9739012122154236
BraTS2021_00123,DynUnet,4 channels,ET,0.9519899487495422
BraTS2021_00456,DynUnet,4 channels,ET,0.9342871308326721
BraTS2021_00144,DynUnet,4 channels,ET,0.8830738067626953
BraTS2021_01239,DynUnet,4 channels,ET,0.8782953023910522
BraTS2021_01486,DynUnet,4 channels,ET,0.0
BraTS2021_00003,DynUnet,4 channels,ET,0.9533721804618835
BraTS2021_01120,DynUnet,4 channels,ET,0.9645917415618896
BraTS2021_01570,DynUnet,4 channels,ET,0.9778119325637817
BraTS2021_00199,DynUnet,4 channels,ET,0.9621994495391846
BraTS2021_00789,DynUnet,4 channels,ET,0.9657822251319885
BraTS2021_00185,DynUnet,4 channels,ET,0.9315650463104248
BraTS2021_01516,DynUnet,4 channels,ET,0.8622981905937195
BraTS2021_01317,DynUnet,4 channels,ET,0.9601761102676392
BraTS2021_00151,DynUnet,4 channels,ET,0.8935059309005737
BraTS2021_01049,DynUnet,4 channels,ET,0.8376198410987854
BraTS2021_00053,DynUnet,4 channels,ET,0.8886171579360962
BraTS2021_00195,DynUnet,4 channels,ET,0.9352314472198486
BraTS2021_01279,DynUnet,4 channels,ET,0.8981654644012451
BraTS2021_00448,DynUnet,4 channels,ET,0.9686083793640137
BraTS2021_01459,DynUnet,4 channels,ET,0.9300908446311951
BraTS2021_00806,DynUnet,4 channels,ET,0.9503371119499207
BraTS2021_01466,DynUnet,4 channels,ET,0.9172852635383606
BraTS2021_00382,DynUnet,4 channels,ET,0.9054422974586487
BraTS2021_01433,DynUnet,4 channels,ET,0.0
BraTS2021_01113,DynUnet,4 channels,ET,0.8910185694694519
BraTS2021_00429,DynUnet,4 channels,ET,0.9651966691017151
BraTS2021_00096,DynUnet,4 channels,ET,0.9408878684043884
BraTS2021_01379,DynUnet,4 channels,ET,0.8558376431465149
BraTS2021_01585,DynUnet,4 channels,ET,0.947733461856842
BraTS2021_00102,DynUnet,4 channels,ET,0.5309807062149048
BraTS2021_01638,DynUnet,4 channels,ET,0.9443185329437256
BraTS2021_01131,DynUnet,4 channels,ET,0.9639579057693481
BraTS2021_00139,DynUnet,4 channels,ET,0.7904887199401855
BraTS2021_01338,DynUnet,4 channels,ET,0.9692991375923157
BraTS2021_01370,DynUnet,4 channels,ET,0.8470084071159363
BraTS2021_00491,DynUnet,4 channels,ET,0.8868401646614075
BraTS2021_00495,DynUnet,4 channels,ET,0.9432259202003479
BraTS2021_01454,DynUnet,4 channels,ET,0.86761474609375
BraTS2021_01575,DynUnet,4 channels,ET,0.9431662559509277
BraTS2021_00675,DynUnet,4 channels,ET,0.9186298251152039
BraTS2021_00165,DynUnet,4 channels,ET,0.961351215839386
BraTS2021_01047,DynUnet,4 channels,ET,0.7839345335960388
BraTS2021_01352,DynUnet,4 channels,ET,0.8484169840812683
BraTS2021_01103,DynUnet,4 channels,ET,0.3834886848926544
BraTS2021_01492,DynUnet,4 channels,ET,0.9467669129371643
BraTS2021_00551,DynUnet,4 channels,ET,0.8934584259986877
BraTS2021_01502,DynUnet,4 channels,ET,0.0
BraTS2021_01208,DynUnet,4 channels,ET,0.8729380369186401
BraTS2021_00111,DynUnet,4 channels,ET,0.5332979559898376
BraTS2021_00280,DynUnet,4 channels,ET,0.875401496887207
BraTS2021_01615,DynUnet,4 channels,ET,0.9087146520614624
BraTS2021_00797,DynUnet,4 channels,ET,0.9142736196517944
BraTS2021_01213,DynUnet,4 channels,ET,0.72635817527771
BraTS2021_01661,DynUnet,4 channels,ET,0.9568907618522644
BraTS2021_01023,DynUnet,4 channels,ET,0.941618800163269
BraTS2021_01028,DynUnet,4 channels,ET,0.9334675073623657
BraTS2021_01634,DynUnet,4 channels,ET,0.9711588025093079
BraTS2021_00830,DynUnet,4 channels,ET,0.9696379899978638
BraTS2021_00157,DynUnet,4 channels,ET,0.9512699246406555
BraTS2021_00090,DynUnet,4 channels,ET,0.9330666661262512
BraTS2021_00085,DynUnet,4 channels,ET,0.9091734886169434
BraTS2021_01458,DynUnet,4 channels,ET,0.746293306350708
BraTS2021_01057,DynUnet,4 channels,ET,0.9335311055183411
BraTS2021_00282,DynUnet,4 channels,ET,0.9469867944717407
BraTS2021_01158,DynUnet,4 channels,ET,0.7930944561958313
BraTS2021_00718,DynUnet,4 channels,ET,0.9208159446716309
BraTS2021_01348,DynUnet,4 channels,ET,0.9579789638519287
BraTS2021_00510,DynUnet,4 channels,ET,0.9212636351585388
BraTS2021_00618,DynUnet,4 channels,ET,0.9734553694725037
BraTS2021_01579,DynUnet,4 channels,ET,0.9029691219329834
BraTS2021_01169,DynUnet,4 channels,ET,0.0
BraTS2021_00605,DynUnet,4 channels,ET,0.9722903370857239
BraTS2021_00332,DynUnet,4 channels,ET,0.9369819164276123
BraTS2021_01251,DynUnet,4 channels,ET,0.8905330896377563
BraTS2021_01069,DynUnet,4 channels,ET,0.9823119044303894
BraTS2021_01628,DynUnet,4 channels,ET,0.0
BraTS2021_01316,DynUnet,4 channels,ET,0.967731773853302
BraTS2021_01660,DynUnet,4 channels,ET,0.925900936126709
BraTS2021_01212,DynUnet,4 channels,ET,0.8549125790596008
BraTS2021_00322,DynUnet,4 channels,ET,0.9655469655990601
BraTS2021_00400,DynUnet,4 channels,ET,0.8346895575523376
