scan_id,Dice_ET,Dice_TC,Dice_WT,Hausdorff95_ET,Hausdorff95_TC,Hausdorff95_WT,Sensitivity_ET,Sensitivity_TC,Sensitivity_WT,Specificity_ET,Specificity_TC,Specificity_WT
00213,0.7285189999999999,0.795171,0.853806,4.0,3.605551,3.0,0.574049,0.666095,0.802949,0.999999,0.999994,0.999916
00229,0.891014,0.907941,0.892843,2.236068,2.828427,3.0,0.833205,0.862562,0.9467459999999999,0.999941,0.999935,0.9990209999999999
00252,1.0,1.0,0.8448120000000001,0.0,0.0,5.196152,1.0,1.0,0.8441700000000001,1.0,1.0,0.999727
00256,0.974894,0.984405,0.972242,1.0,1.0,1.0,0.966259,0.999288,0.9992120000000001,0.9999959999999999,0.9999899999999999,0.999783
00264,0.9271729999999999,0.971376,0.9872299999999999,1.0,1.0,1.0,0.9121889999999999,0.973769,0.99454,0.9999120000000001,0.999936,0.99984
00287,0.805188,0.8574,0.945584,3.0,3.741657,4.123106,0.9400540000000001,0.963201,0.9577379999999999,0.999431,0.9995290000000001,0.999555
00307,0.9154690000000001,0.946758,0.882948,1.0,1.4142139999999999,7.0710679999999995,0.945118,0.9991610000000001,0.852935,0.9999040000000001,0.999851,0.999525
00323,0.9742620000000001,0.981079,0.917882,1.0,1.0,1.7320509999999998,0.975601,0.9974559999999999,0.947565,0.999991,0.9999870000000001,0.9996889999999999
00333,0.9056379999999999,0.961757,0.930853,1.0,1.0,2.828427,0.933182,0.9645389999999999,0.906019,0.9996719999999999,0.999827,0.999635
00335,0.973426,0.9881549999999999,0.982684,1.0,1.0,1.0,0.958367,0.9830110000000001,0.9975149999999999,0.999907,0.9999309999999999,0.999476
00337,0.582233,0.919917,0.8930450000000001,2.0,2.236068,3.0,0.622898,0.9099729999999999,0.861683,0.999107,0.9996229999999999,0.9992989999999999
00355,0.980877,0.9921409999999999,0.9754659999999999,1.0,1.0,1.0,0.9772049999999999,0.9930329999999999,0.996776,0.9999899999999999,0.999991,0.9999379999999999
00372,0.9870270000000001,0.9778620000000001,0.9752280000000001,1.0,1.0,1.0,0.9908129999999999,0.9973629999999999,0.9906450000000001,0.999936,0.9998299999999999,0.9996799999999999
00381,0.931141,0.972193,0.956267,1.4142139999999999,1.0,1.0,0.903122,0.9648700000000001,0.989604,0.9999379999999999,0.9999620000000001,0.999713
00384,0.8670629999999999,0.9432729999999999,0.9267549999999999,1.0,1.0,3.741657,0.8495450000000001,0.9424459999999999,0.948401,0.999923,0.9999319999999999,0.9994719999999999
00422,0.933003,0.955649,0.973606,1.0,2.44949,1.4142139999999999,0.9569110000000001,0.981339,0.98393,0.999704,0.9994959999999999,0.99925
00428,0.9677540000000001,0.9887610000000001,0.983742,1.0,1.0,1.0,0.958392,0.992118,0.9875729999999999,0.9998940000000001,0.9998879999999999,0.9995729999999999
00434,0.9325450000000001,0.936506,0.9536620000000001,1.0,1.4142139999999999,1.4142139999999999,0.989619,0.9139520000000001,0.9718559999999999,0.9997590000000001,0.999899,0.9995450000000001
00438,0.656227,0.623671,0.952833,32.720019,32.726893,1.0,1.0,1.0,0.991433,0.999948,0.999941,0.999553
00447,0.962195,0.9723069999999999,0.9812770000000001,1.0,1.4142139999999999,1.0,0.974151,0.985706,0.992374,0.999783,0.9997379999999999,0.9994719999999999
00450,0.8975360000000001,0.957617,0.988547,1.4142139999999999,2.0,1.0,0.8682489999999999,0.9696620000000001,0.985094,0.999885,0.999798,0.9998670000000001
00458,0.9682629999999999,0.98641,0.976283,1.0,1.0,1.0,0.951266,0.989712,0.9971639999999999,0.99997,0.9999530000000001,0.999743
00460,0.959774,0.983099,0.964432,1.0,1.0,3.0,0.9474969999999999,0.978102,0.946693,0.999825,0.9998940000000001,0.9995620000000001
00462,0.8992760000000001,0.975577,0.933283,1.0,1.0,3.605551,0.893388,0.978093,0.9802379999999999,0.9998870000000001,0.999948,0.999416
00463,0.9534819999999999,0.97951,0.958311,1.0,1.0,2.0,0.93842,0.972468,0.956268,0.999908,0.9999379999999999,0.999333
00467,0.8416520000000001,0.963939,0.904558,2.0,1.0,2.236068,0.903543,0.9386260000000001,0.839995,0.999811,0.9999899999999999,0.9999540000000001
00474,0.579391,0.697183,0.9762780000000001,9.69536,7.0,1.0,0.41369399999999995,0.544265,0.964879,0.999966,0.999956,0.999815
00489,0.9141370000000001,0.9533739999999999,0.956309,1.0,1.4142139999999999,1.4142139999999999,0.8487889999999999,0.9147270000000001,0.937054,0.9999790000000001,0.999986,0.999576
00492,0.9420129999999999,0.9793649999999999,0.9484049999999999,1.0,1.0,2.0,0.9308219999999999,0.9677450000000001,0.936839,0.999862,0.9999549999999999,0.9994049999999999
00503,0.896101,0.9372469999999999,0.8930600000000001,1.4142139999999999,2.236068,4.0,0.8553719999999999,0.897125,0.825996,0.9999170000000001,0.999966,0.9998540000000001
00521,0.814684,0.744557,0.9127360000000001,3.1622779999999997,5.830952,4.123106,0.880785,0.956649,0.9868709999999999,0.999892,0.999765,0.998175
00535,0.883117,0.8902620000000001,0.8866129999999999,1.7320509999999998,2.236068,4.242641000000001,0.9918399999999999,0.998541,0.828184,0.9998600000000001,0.99985,0.999685
00553,0.9393379999999999,0.9751280000000001,0.958269,1.0,1.0,1.4142139999999999,0.898949,0.961659,0.9596020000000001,0.999951,0.9999520000000001,0.999259
00560,0.846035,0.93386,0.65359,1.4142139999999999,1.4142139999999999,10.198039,0.753316,0.893141,0.498305,0.999965,0.999966,0.99982
00573,0.9098719999999999,0.9591649999999999,0.9683280000000001,1.0,1.4142139999999999,1.0,0.9176540000000001,0.976894,0.9824870000000001,0.999898,0.999901,0.999755
00585,0.955707,0.9786879999999999,0.977568,1.0,1.0,1.0,0.9436709999999999,0.967884,0.982749,0.9997879999999999,0.9998950000000001,0.9995629999999999
00592,0.946876,0.973024,0.969277,1.0,1.4142139999999999,1.4142139999999999,0.929371,0.959309,0.969548,0.999771,0.9998610000000001,0.999397
00595,0.942615,0.9544040000000001,0.962087,1.4142139999999999,2.236068,1.4142139999999999,0.9556049999999999,0.9914719999999999,0.990856,0.999843,0.999792,0.999008
00603,0.960045,0.9662129999999999,0.976225,1.0,1.0,1.0,0.948785,0.9698629999999999,0.989884,0.999967,0.9999530000000001,0.999499
00644,0.968542,0.9862,0.95825,1.0,1.0,2.0,0.9554440000000001,0.989078,0.9628979999999999,0.999964,0.9999520000000001,0.999661
00647,0.948659,0.9858709999999999,0.9604219999999999,1.0,1.0,1.0,0.9815870000000001,0.995742,0.9928610000000001,0.9999600000000001,0.999976,0.9997459999999999
00662,0.968239,0.984391,0.9772799999999999,1.0,1.0,1.0,0.967202,0.9888290000000001,0.983771,0.999878,0.999885,0.999606
00671,0.918932,0.950574,0.977707,2.828427,1.4142139999999999,1.0,0.855459,0.913499,0.9934209999999999,0.9999819999999999,0.999976,0.999669
00681,0.8374149999999999,0.898473,0.900905,1.4142139999999999,1.4142139999999999,1.7320509999999998,0.860592,0.922485,0.9174049999999999,0.9999040000000001,0.999926,0.999834
00699,0.88239,0.944577,0.948767,1.7320509999999998,2.236068,1.4142139999999999,0.855241,0.9341010000000001,0.924392,0.999815,0.9998319999999999,0.999877
00702,0.896,0.9680690000000001,0.926945,1.0,1.4142139999999999,3.0,0.912032,0.96878,0.937773,0.999469,0.999675,0.998919
00712,0.9413540000000001,0.9907590000000001,0.9654809999999999,1.0,1.0,1.4142139999999999,0.949204,0.9871840000000001,0.941541,0.9998309999999999,0.9999540000000001,0.9998379999999999
00719,0.93968,0.944659,0.815096,1.0,1.0,5.830952,0.920695,0.929114,0.956391,0.9999879999999999,0.9999879999999999,0.998242
00721,0.955413,0.974107,0.965399,1.0,1.0,1.0,0.9466950000000001,0.981827,0.9529540000000001,0.999965,0.9999620000000001,0.999771
00749,0.938631,0.9802549999999999,0.960975,1.0,1.0,1.7320509999999998,0.91648,0.9758969999999999,0.9416459999999999,0.9998870000000001,0.999919,0.999769
00762,0.843065,0.8428450000000001,0.910043,1.4142139999999999,1.4142139999999999,3.0,0.9402799999999999,0.944549,0.905266,0.999949,0.9999469999999999,0.9995120000000001
00769,0.949634,0.969117,0.9062399999999999,1.0,1.0,2.44949,0.9314530000000001,0.968518,0.851561,0.99998,0.999978,0.9999319999999999
00779,0.977798,0.9868790000000001,0.9693620000000001,1.0,1.0,1.0,0.9917969999999999,0.999006,0.9907090000000001,0.9999459999999999,0.999957,0.9997209999999999
00821,0.897159,0.931753,0.9716309999999999,3.741657,3.741657,1.4142139999999999,0.831534,0.875655,0.98251,0.999811,0.9999629999999999,0.999041
00822,0.980023,0.984604,0.963383,1.0,1.0,1.0,0.9833629999999999,0.9935649999999999,0.9983770000000001,0.999934,0.999925,0.9996450000000001
00825,0.979234,0.9848610000000001,0.9867940000000001,1.0,1.0,1.0,0.969749,0.988775,0.981927,0.9999399999999999,0.999884,0.9997860000000001
00826,0.9819399999999999,0.984685,0.966096,1.0,1.0,1.7320509999999998,0.9754379999999999,0.99026,0.944313,0.9999299999999999,0.9998610000000001,0.999732
00829,0.838141,0.968993,0.991647,2.828427,2.0,1.0,0.733705,0.945075,0.990877,0.9999129999999999,0.999936,0.999868
00833,0.872769,0.870843,0.909919,1.4142139999999999,5.099019999999999,4.123106,0.8107479999999999,0.784093,0.847707,0.9997870000000001,0.9998870000000001,0.9998379999999999
